sales_id,customer,date,car_make,car_model,year,mileage,price,payment_type,last_updated,mileage_bin,vehicle_age
67,Unknown,2025-05-05,Honda,Accord,2016,,21037,Loan,2025-05-05 05:13:00,,9
68,Avis Budget Group,2025-05-05,Toyota,Camry,2023,47356.0,22157,Loan,2025-05-05 08:19:00,Medium,2
69,Lithia Motors,2025-05-05,Toyota,RAV4,2017,97882.0,11896,Loan,2025-05-05 07:35:00,Very High,8
70,Unknown,2025-05-06,Hyundai,Tucson,2016,67933.0,24784,Loan,2025-05-06 08:16:00,High,9
71,Sonic Automotive,2025-05-06,Toyota,RAV4,2017,17023.0,19233,Cash,2025-05-06 04:25:00,Low,8
72,Sonic Automotive,2025-05-06,Toyota,Corolla,2016,,5417,Unknown,2025-05-06 07:56:00,,9
73,Lithia Motors,2025-05-07,Honda,CR-V,2015,76517.0,9831,Loan,2025-05-07 13:04:00,High,10
74,Sonic Automotive,2025-05-07,Honda,Accord,2015,18143.0,21795,Loan,2025-05-07 16:41:00,Low,10
75,CarMax,2025-05-07,Ford,Escape,2022,103359.0,7993,Credit,2025-05-07 13:36:00,Very High,3
76,Lithia Motors,2025-05-07,Hyundai,Tucson,2020,64471.0,13380,Credit,2025-05-07 16:20:00,High,5
77,CarMax,2025-05-07,Ford,Escape,2021,77091.0,9205,Credit,2025-05-07 23:23:00,High,4
78,Avis Budget Group,2025-05-07,Honda,Civic,2020,56855.0,20405,Loan,2025-05-07 07:06:00,Medium,5
79,Copart,2025-05-08,Ford,Focus,2023,94261.0,12746,Loan,2025-05-08 21:38:00,Very High,2
80,Manheim,2025-05-08,Honda,CR-V,2022,,8998,Loan,2025-05-08 11:10:00,,3
81,Enterprise Holdings,2025-05-08,Toyota,Corolla,2023,61300.0,13441,Loan,2025-05-08 12:59:00,High,2
82,Copart,2025-05-08,Ford,Focus,2021,32046.0,15063,Loan,2025-05-08 04:42:00,Medium,4
83,Copart,2025-05-08,Chevrolet,Equinox,2023,41819.0,9029,Credit,2025-05-08 08:17:00,Medium,2
84,Avis Budget Group,2025-05-08,Hyundai,Elantra,2016,54545.0,8633,Cash,2025-05-08 15:18:00,Medium,9
85,Unknown,2025-05-09,Toyota,Corolla,2020,66670.0,10571,Cash,2025-05-09 07:08:00,High,5
86,Unknown,2025-05-09,Hyundai,Tucson,2019,15723.0,12240,Cash,2025-05-09 01:20:00,Low,6
87,Unknown,2025-05-09,Chevrolet,Cruze,2022,38728.0,5913,Cash,2025-05-09 15:00:00,Medium,3
88,Penske Automotive,2025-05-10,Ford,Focus,2022,35501.0,5914,Cash,2025-05-10 10:55:00,Medium,3
89,Manheim,2025-05-10,Honda,Accord,2023,,22370,Unknown,2025-05-10 11:37:00,,2
90,Copart,2025-05-10,Chevrolet,Cruze,2023,18050.0,15673,Cash,2025-05-10 12:47:00,Low,2
91,Manheim,2025-05-11,Toyota,Camry,2020,34159.0,9561,Credit,2025-05-11 17:26:00,Medium,5
92,Lithia Motors,2025-05-11,Hyundai,Santa Fe,2016,107611.0,14300,Credit,2025-05-11 03:22:00,Very High,9
93,Copart,2025-05-11,Toyota,RAV4,2023,76456.0,8200,Cash,2025-05-11 12:07:00,High,2
94,CarMax,2025-05-11,Chevrolet,Equinox,2019,25780.0,15890,Credit,2025-05-11 11:05:00,Low,6
95,Avis Budget Group,2025-05-11,Honda,Accord,2016,17115.0,16915,Cash,2025-05-11 21:26:00,Low,9
96,Enterprise Holdings,2025-05-12,Ford,Escape,2022,31119.0,23106,Cash,2025-05-12 01:19:00,Medium,3
97,Hertz Global Holdings,2025-05-12,Hyundai,Elantra,2020,15291.0,17607,Loan,2025-05-12 16:31:00,Low,5
98,Penske Automotive,2025-05-12,Chevrolet,Cruze,2017,27657.0,19666,Cash,2025-05-12 20:35:00,Low,8
99,Avis Budget Group,2025-05-13,Honda,CR-V,2023,68133.0,9858,Loan,2025-05-13 13:17:00,High,2
100,AutoNation,2025-05-13,Ford,Focus,2015,30107.0,21824,Cash,2025-05-13 16:15:00,Medium,10
101,Avis Budget Group,2025-05-13,Chevrolet,Equinox,2021,112486.0,9637,Credit,2025-05-13 03:08:00,Very High,4
102,Enterprise Holdings,2025-05-13,Chevrolet,Cruze,2017,61848.0,8620,Unknown,2025-05-13 06:16:00,High,8
103,Enterprise Holdings,2025-05-13,Toyota,RAV4,2016,,20700,Loan,2025-05-13 15:48:00,,9
104,CarMax,2025-05-14,Toyota,RAV4,2015,36240.0,9031,Loan,2025-05-14 03:22:00,Medium,10
105,Hertz Global Holdings,2025-05-14,Honda,Accord,2021,48914.0,6799,Loan,2025-05-14 19:59:00,Medium,4
106,Lithia Motors,2025-05-14,Chevrolet,Malibu,2020,86004.0,18894,Credit,2025-05-14 17:00:00,High,5
107,Hertz Global Holdings,2025-05-14,Ford,Fusion,2020,33674.0,14302,Credit,2025-05-14 11:40:00,Medium,5
108,CarMax,2025-05-14,Honda,CR-V,2017,106182.0,21604,Unknown,2025-05-14 00:04:00,Very High,8
109,Lithia Motors,2025-05-15,Honda,Accord,2022,77755.0,18564,Loan,2025-05-15 02:18:00,High,3
110,Hertz Global Holdings,2025-05-15,Ford,Fusion,2016,65940.0,10767,Unknown,2025-05-15 19:55:00,High,9
111,Copart,2025-05-15,Ford,Escape,2017,,8618,Cash,2025-05-15 13:14:00,,8
112,Hertz Global Holdings,2025-05-15,Ford,Fusion,2015,14303.0,18016,Unknown,2025-05-15 21:53:00,Low,10
113,Penske Automotive,2025-05-15,Honda,Civic,2023,70152.0,19406,Cash,2025-05-15 18:28:00,High,2
114,AutoNation,2025-05-15,Hyundai,Santa Fe,2015,23152.0,20723,Credit,2025-05-15 10:58:00,Low,10
115,Hertz Global Holdings,2025-05-16,Honda,Civic,2018,,7874,Cash,2025-05-16 23:53:00,,7
116,Penske Automotive,2025-05-16,Chevrolet,Cruze,2019,84133.0,6296,Cash,2025-05-16 13:18:00,High,6
117,CarMax,2025-05-16,Ford,Fusion,2017,118546.0,15515,Loan,2025-05-16 01:57:00,Very High,8
118,Avis Budget Group,2025-05-16,Hyundai,Tucson,2021,24666.0,7922,Credit,2025-05-16 09:19:00,Low,4
119,Unknown,2025-05-17,Toyota,Camry,2019,88753.0,12060,Loan,2025-05-17 10:08:00,High,6
120,AutoNation,2025-05-17,Ford,Fusion,2022,19212.0,16970,Unknown,2025-05-17 00:14:00,Low,3
121,Sonic Automotive,2025-05-17,Honda,CR-V,2015,20391.0,7459,Cash,2025-05-17 22:55:00,Low,10
122,Penske Automotive,2025-05-17,Chevrolet,Malibu,2018,59483.0,17708,Loan,2025-05-17 04:22:00,Medium,7
123,Hertz Global Holdings,2025-05-18,Ford,Escape,2023,20766.0,8779,Unknown,2025-05-18 21:40:00,Low,2
124,Copart,2025-05-18,Chevrolet,Equinox,2015,64076.0,9208,Cash,2025-05-18 06:12:00,High,10
125,Avis Budget Group,2025-05-18,Hyundai,Santa Fe,2016,11313.0,15999,Loan,2025-05-18 19:46:00,Low,9
126,Lithia Motors,2025-05-18,Toyota,Camry,2022,70764.0,19828,Cash,2025-05-18 23:08:00,High,3
127,Lithia Motors,2025-05-19,Chevrolet,Equinox,2017,15366.0,15201,Credit,2025-05-19 02:06:00,Low,8
128,Lithia Motors,2025-05-19,Toyota,Camry,2022,101185.0,9373,Loan,2025-05-19 20:40:00,Very High,3
129,Sonic Automotive,2025-05-19,Hyundai,Tucson,2015,110228.0,21742,Cash,2025-05-19 21:30:00,Very High,10
130,Enterprise Holdings,2025-05-19,Chevrolet,Equinox,2015,91056.0,23258,Loan,2025-05-19 07:06:00,Very High,10
131,Hertz Global Holdings,2025-05-20,Ford,Focus,2016,87759.0,17357,Loan,2025-05-20 18:56:00,High,9
132,CarMax,2025-05-20,Hyundai,Elantra,2017,,15423,Cash,2025-05-20 10:21:00,,8
133,Lithia Motors,2025-05-20,Hyundai,Santa Fe,2021,113378.0,23287,Unknown,2025-05-20 01:38:00,Very High,4
134,Avis Budget Group,2025-05-20,Toyota,Camry,2018,44360.0,5434,Cash,2025-05-20 14:01:00,Medium,7
135,Penske Automotive,2025-05-20,Chevrolet,Malibu,2023,31189.0,22202,Loan,2025-05-20 06:14:00,Medium,2
136,Lithia Motors,2025-05-21,Toyota,Camry,2023,,9981,Loan,2025-05-21 12:19:00,,2
137,Manheim,2025-05-21,Toyota,Camry,2020,103064.0,7849,Unknown,2025-05-21 15:17:00,Very High,5
138,Hertz Global Holdings,2025-05-21,Chevrolet,Malibu,2015,21424.0,14705,Credit,2025-05-21 23:07:00,Low,10
139,AutoNation,2025-05-21,Chevrolet,Cruze,2018,19100.0,5090,Cash,2025-05-21 11:33:00,Low,7
140,Sonic Automotive,2025-05-22,Honda,Accord,2022,45800.0,5554,Loan,2025-05-22 04:22:00,Medium,3
141,Sonic Automotive,2025-05-22,Chevrolet,Malibu,2019,17821.0,10045,Credit,2025-05-22 19:32:00,Low,6
142,Hertz Global Holdings,2025-05-22,Hyundai,Tucson,2022,51915.0,14099,Cash,2025-05-22 06:14:00,Medium,3
143,AutoNation,2025-05-22,Ford,Fusion,2017,106072.0,23399,Loan,2025-05-22 02:05:00,Very High,8
144,Penske Automotive,2025-05-22,Ford,Escape,2016,22237.0,19362,Credit,2025-05-22 06:47:00,Low,9
145,Manheim,2025-05-22,Hyundai,Tucson,2018,86290.0,11475,Cash,2025-05-22 06:55:00,High,7
146,Enterprise Holdings,2025-05-23,Ford,Fusion,2019,,21906,Cash,2025-05-23 17:09:00,,6
147,Avis Budget Group,2025-05-23,Toyota,Corolla,2019,22487.0,8020,Credit,2025-05-23 15:36:00,Low,6
148,Enterprise Holdings,2025-05-23,Honda,Civic,2015,26532.0,8350,Loan,2025-05-23 15:24:00,Low,10
149,AutoNation,2025-05-23,Ford,Escape,2017,,16479,Cash,2025-05-23 20:40:00,,8
150,Manheim,2025-05-23,Hyundai,Santa Fe,2015,44739.0,18958,Credit,2025-05-23 10:54:00,Medium,10
151,CarMax,2025-05-24,Honda,Accord,2022,71287.0,9616,Credit,2025-05-24 06:28:00,High,3
152,AutoNation,2025-05-24,Toyota,Camry,2015,105441.0,18337,Loan,2025-05-24 17:17:00,Very High,10
153,Manheim,2025-05-24,Toyota,RAV4,2022,,8085,Cash,2025-05-24 02:51:00,,3
154,Avis Budget Group,2025-05-25,Toyota,Camry,2018,44544.0,16361,Loan,2025-05-25 00:36:00,Medium,7
155,Avis Budget Group,2025-05-25,Chevrolet,Cruze,2021,35479.0,11257,Cash,2025-05-25 21:16:00,Medium,4
156,Copart,2025-05-25,Ford,Escape,2016,44357.0,15006,Loan,2025-05-25 09:06:00,Medium,9
157,Penske Automotive,2025-05-25,Ford,Fusion,2023,13822.0,18740,Loan,2025-05-25 21:42:00,Low,2
158,Copart,2025-05-25,Ford,Focus,2019,77728.0,22519,Loan,2025-05-25 21:04:00,High,6
159,Avis Budget Group,2025-05-26,Ford,Escape,2015,12675.0,23560,Cash,2025-05-26 22:02:00,Low,10
160,Manheim,2025-05-26,Chevrolet,Equinox,2023,66009.0,20227,Credit,2025-05-26 08:37:00,High,2
161,Enterprise Holdings,2025-05-26,Toyota,Camry,2015,25719.0,13398,Loan,2025-05-26 05:09:00,Low,10
162,Enterprise Holdings,2025-05-26,Toyota,Corolla,2018,33588.0,7680,Credit,2025-05-26 19:17:00,Medium,7
163,Lithia Motors,2025-05-27,Toyota,Camry,2023,107333.0,17979,Credit,2025-05-27 04:15:00,Very High,2
164,Avis Budget Group,2025-05-27,Honda,CR-V,2023,10848.0,13502,Loan,2025-05-27 04:25:00,Low,2
165,Lithia Motors,2025-05-27,Honda,CR-V,2023,,13913,Unknown,2025-05-27 19:21:00,,2
166,Hertz Global Holdings,2025-05-27,Chevrolet,Malibu,2017,69336.0,19351,Cash,2025-05-27 06:37:00,High,8
167,Avis Budget Group,2025-05-27,Chevrolet,Cruze,2018,69852.0,11284,Loan,2025-05-27 20:04:00,High,7
168,CarMax,2025-05-27,Toyota,RAV4,2020,66846.0,17822,Unknown,2025-05-27 07:45:00,High,5
169,Hertz Global Holdings,2025-05-28,Chevrolet,Cruze,2018,69339.0,5107,Credit,2025-05-28 13:35:00,High,7
170,Hertz Global Holdings,2025-05-28,Hyundai,Elantra,2021,49707.0,22106,Cash,2025-05-28 20:17:00,Medium,4
171,Penske Automotive,2025-05-28,Chevrolet,Equinox,2023,21811.0,12185,Loan,2025-05-28 08:46:00,Low,2
172,Unknown,2025-05-28,Hyundai,Santa Fe,2019,11599.0,21148,Cash,2025-05-28 08:16:00,Low,6
173,Copart,2025-05-28,Honda,CR-V,2018,69601.0,14628,Credit,2025-05-28 19:01:00,High,7
174,CarMax,2025-05-28,Toyota,Camry,2016,33838.0,10339,Credit,2025-05-28 05:20:00,Medium,9
175,Hertz Global Holdings,2025-05-29,Hyundai,Santa Fe,2019,107930.0,10753,Unknown,2025-05-29 13:49:00,Very High,6
176,Sonic Automotive,2025-05-29,Hyundai,Tucson,2022,,23916,Credit,2025-05-29 00:17:00,,3
177,Penske Automotive,2025-05-29,Toyota,RAV4,2021,,5737,Credit,2025-05-29 14:44:00,,4
178,Enterprise Holdings,2025-05-29,Toyota,Camry,2021,70902.0,13748,Loan,2025-05-29 17:25:00,High,4
179,Lithia Motors,2025-05-29,Honda,Civic,2019,111222.0,17634,Loan,2025-05-29 21:32:00,Very High,6
180,Penske Automotive,2025-05-29,Ford,Focus,2020,33048.0,11995,Unknown,2025-05-29 05:26:00,Medium,5
181,Manheim,2025-05-30,Honda,CR-V,2020,45980.0,10430,Cash,2025-05-30 14:08:00,Medium,5
182,Hertz Global Holdings,2025-05-30,Honda,Accord,2020,72569.0,13176,Loan,2025-05-30 19:56:00,High,5
183,Copart,2025-05-30,Honda,Accord,2017,43069.0,12808,Cash,2025-05-30 06:22:00,Medium,8
184,Avis Budget Group,2025-05-31,Toyota,Camry,2021,116083.0,23805,Cash,2025-05-31 21:31:00,Very High,4
185,Avis Budget Group,2025-05-31,Chevrolet,Equinox,2017,29496.0,17139,Unknown,2025-05-31 00:35:00,Low,8
186,Manheim,2025-05-31,Honda,CR-V,2017,69863.0,13682,Cash,2025-05-31 02:20:00,High,8
